freq,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PC_HH,MT00	76.70 	78.04 	80.32 	81.00 	81.41 	84.77 	84.14 	86.08 	90.36 	90.54 	93.39 	93.54 
A,PC_HH,NL11	93.23 	94.52 	94.28 	96.79 	98.54 	100.00 	99.06 	95.56 	96.04 	98.58 	98.62 	98.59 
A,PC_HH,NL12	93.94 	90.68 	97.01 	93.58 	95.35 	97.65 	95.78 	97.17 	96.40 	96.91 	96.42 	98.46 
A,PC_HH,NL13	96.17 	94.50 	94.81 	94.29 	95.98 	99.09 	96.89 	96.16 	97.85 	97.51 	100.00 	99.40 
A,PC_HH,NL21	94.54 	95.16 	97.36 	98.51 	96.96 	95.99 	98.33 	96.68 	97.48 	99.39 	99.16 	99.17 
A,PC_HH,NL22	93.74 	94.43 	97.52 	96.19 	97.12 	96.23 	99.08 	99.18 	97.22 	98.73 	98.18 	98.39 
A,PC_HH,NL23	97.60 	96.79 	91.02 	96.32 	100.00 	100.00 	93.01 	99.22 	98.74 	98.23 	94.89 	98.90 
A,PC_HH,NL31	91.49 	98.30 	96.68 	96.86 	97.28 	98.01 	96.52 	98.29 	96.93 	99.48 	99.16 	99.53 
A,PC_HH,NL32	94.53 	96.60 	95.20 	95.89 	96.26 	99.05 	98.48 	99.05 	97.88 	98.50 	98.93 	99.42 
A,PC_HH,NL33	92.38 	93.14 	95.10 	95.54 	96.84 	98.69 	98.51 	98.46 	96.36 	98.39 	98.04 	98.31 
A,PC_HH,NL34	95.50 	91.52 	99.01 	93.51 	93.23 	97.33 	97.11 	98.74 	94.62 	100.00 	97.79 	99.09 
A,PC_HH,NL41	93.56 	93.01 	95.41 	95.67 	96.67 	98.18 	98.39 	98.66 	96.93 	98.50 	98.26 	98.93 
A,PC_HH,NL42	92.87 	96.29 	95.89 	96.60 	94.99 	99.35 	96.87 	99.19 	96.07 	98.12 	97.11 	98.81 
A,PC_HH,NO01	94.48 	96.19 	98.29 	96.61 	96.64 	97.75 	96.06 	99.38 	99.13 	: 	: 	: 
A,PC_HH,NO02	87.42 	95.28 	85.42 	99.21 	93.71 	97.06 	99.38 	100.00 	81.63 	100.00 	100.00 	99.52 
A,PC_HH,NO03	92.18 	92.99 	93.04 	98.04 	97.31 	98.06 	94.75 	98.65 	94.93 	: 	: 	: 
A,PC_HH,NO04	95.33 	89.50 	89.12 	93.10 	98.76 	97.32 	100.00 	100.00 	95.51 	: 	: 	: 
A,PC_HH,NO05	92.19 	95.09 	94.85 	98.22 	100.00 	96.15 	95.98 	96.89 	96.22 	: 	: 	: 
A,PC_HH,NO06	90.88 	98.32 	85.65 	90.63 	100.00 	88.81 	94.26 	94.82 	100.00 	100.00 	96.90 	98.86 
A,PC_HH,NO07	92.84 	92.72 	95.50 	99.19 	91.79 	98.61 	90.90 	98.44 	100.00 	99.73 	98.57 	100.00 
A,PC_HH,PL21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	94.45 
A,PC_HH,PL22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	93.84 
A,PC_HH,PL41	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	93.73 
A,PC_HH,PL42	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	86.68 
A,PC_HH,PL43	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	91.16 
A,PC_HH,PL51	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	93.91 
A,PC_HH,PL52	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	95.10 
A,PC_HH,PL61	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	93.72 
A,PC_HH,PL62	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	90.68 
A,PC_HH,PL63	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	93.55 
A,PC_HH,PL71	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	92.33 
A,PC_HH,PL72	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	92.12 
A,PC_HH,PL81	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	92.27 
A,PC_HH,PL82	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	92.80 
A,PC_HH,PL84	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	92.45 
A,PC_HH,PL91	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	96.19 
A,PC_HH,PL92	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	93.40 
A,PC_HH,PT11	57.95 	59.51 	63.18 	66.88 	71.53 	74.37 	76.67 	77.92 	81.79 	85.02 	85.29 	86.23 
A,PC_HH,PT15	60.71 	61.79 	65.12 	69.12 	72.81 	73.17 	76.53 	80.29 	85.75 	89.18 	89.62 	89.56 
A,PC_HH,PT16	55.22 	56.07 	59.15 	65.86 	69.62 	72.44 	75.09 	76.74 	80.35 	83.64 	84.43 	85.92 
A,PC_HH,PT17	71.91 	72.56 	73.08 	79.24 	82.37 	85.46 	87.65 	88.73 	90.93 	93.22 	93.88 	94.62 
A,PC_HH,PT18	48.78 	51.69 	54.37 	61.24 	63.14 	66.75 	70.57 	73.87 	80.55 	82.07 	86.56 	86.58 
A,PC_HH,PT20	64.07 	66.29 	70.19 	75.87 	79.87 	84.20 	86.48 	85.77 	87.81 	90.85 	93.52 	93.63 
A,PC_HH,PT30	60.54 	64.09 	67.12 	73.97 	78.82 	81.35 	82.71 	86.05 	87.97 	90.52 	90.84 	91.47 
A,PC_HH,RO11	56.77 	61.62 	63.47 b	71.96 	76.06 	80.82 	87.39 	86.58 	89.78 	90.10 	91.23 	93.78 
A,PC_HH,RO12	46.83 	53.35 	55.06 b	67.98 	68.93 	72.34 	77.92 	83.63 	85.33 	89.91 	90.87 	90.33 
A,PC_HH,RO21	45.28 	50.65 	54.85 b	60.77 	65.02 	69.65 	74.10 	79.97 	81.82 	87.42 	85.15 	90.97 
A,PC_HH,RO22	52.95 	57.01 	57.88 b	60.09 	68.95 	72.06 	72.69 	78.80 	80.53 	85.09 	87.15 	88.97 
A,PC_HH,RO31	49.62 	52.12 	52.14 b	61.99 	66.31 	71.35 	75.94 	79.63 	82.91 	86.26 	86.92 	90.73 
A,PC_HH,RO32	74.77 	79.01 	84.05 b	82.26 	89.35 	88.03 	95.59 	90.93 	95.89 	93.78 	96.71 	96.93 
A,PC_HH,RO41	48.89 	53.36 	52.93 b	65.49 	74.41 	76.59 	81.10 	83.96 	84.89 	86.56 	87.02 	91.54 
A,PC_HH,RO42	61.28 	62.98 	67.77 b	76.09 	74.41 	85.56 	85.96 	88.17 	91.22 	91.68 	91.35 	93.17 
A,PC_HH,RS11	: 	: 	: 	: 	: 	: 	: 	89.65 	94.07 	92.88 	93.04 	93.00 
A,PC_HH,RS12	: 	: 	: 	: 	: 	: 	: 	81.57 	75.26 	77.76 	81.88 	84.41 
