DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE35,2019,85.27,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE35,2020,85.61,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE35,2021,86.22,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE35,2022,90.58,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE35,2023,90.29,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG31,2012,38.23,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG31,2013,42.81,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG31,2014,44.88,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG31,2015,44.86,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG31,2016,58.56,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG31,2017,57.77,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG31,2018,65.22,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG31,2019,70.80,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG31,2020,66.15,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG31,2021,73.50,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG31,2022,83.07,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG31,2023,82.57,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG32,2012,47.53,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG32,2013,49.57,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG32,2014,58.45,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG32,2015,58.21,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG32,2016,61.53,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG32,2017,67.77,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG32,2018,68.53,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG32,2019,73.17,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG32,2020,74.76,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG32,2021,82.67,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG32,2022,85.63,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG32,2023,85.36,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG33,2012,47.89,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG33,2013,51.54,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG33,2014,56.16,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG33,2015,56.48,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG33,2016,67.34,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG33,2017,68.69,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG33,2018,73.89,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG33,2019,74.02,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG33,2020,77.70,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG33,2021,85.23,
